nncp compress: input bytes=51797434 model dim=256 depth=4 heads=8
num_params_M: 3.483136
nncp compress: bytes=51797434 ctx=1024 slide=768 train_every=256 train_batch=8 train_seq=256
/home/andrew/Developer/a-compressed-world/.venv/lib/python3.12/site-packages/torch/autograd/graph.py:869: UserWarning: Memory Efficient attention defaults to a non-deterministic algorithm. To explicitly enable determinism call torch.use_deterministic_algorithms(True, warn_only=False). (Triggered internally at /pytorch/aten/src/ATen/native/transformers/cuda/attention_backward.cu:900.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
step 84992 bytes 84992 bits 477310 bpb 5.6159 window_bpb 5.7656 elapsed 115.7s
step 86016 bytes 86016 bits 483084 bpb 5.6162 window_bpb 5.6387 elapsed 117.1s
step 87040 bytes 87040 bits 489153 bpb 5.6199 window_bpb 5.9268 elapsed 118.5s
step 88064 bytes 88064 bits 495094 bpb 5.6220 window_bpb 5.8018 elapsed 119.8s
step 89088 bytes 89088 bits 501078 bpb 5.6245 window_bpb 5.8438 elapsed 121.2s
step 90112 bytes 90112 bits 508925 bpb 5.6477 window_bpb 7.6631 elapsed 122.6s
step 91136 bytes 91136 bits 516711 bpb 5.6697 window_bpb 7.6035 elapsed 123.9s
step 92160 bytes 92160 bits 524305 bpb 5.6891 window_bpb 7.4160 elapsed 125.3s
step 93184 bytes 93184 bits 531570 bpb 5.7045 window_bpb 7.0947 elapsed 126.7s
step 94208 bytes 94208 bits 536616 bpb 5.6961 window_bpb 4.9277 elapsed 128.0s
step 95232 bytes 95232 bits 542884 bpb 5.7006 window_bpb 6.1211 elapsed 129.4s
step 96256 bytes 96256 bits 549262 bpb 5.7063 window_bpb 6.2285 elapsed 130.8s
step 97280 bytes 97280 bits 555597 bpb 5.7113 window_bpb 6.1865 elapsed 132.2s
step 98304 bytes 98304 bits 561626 bpb 5.7132 window_bpb 5.8877 elapsed 133.5s
step 99328 bytes 99328 bits 567923 bpb 5.7177 window_bpb 6.1494 elapsed 134.9s
step 100352 bytes 100352 bits 574109 bpb 5.7210 window_bpb 6.0410 elapsed 136.3s
step 101376 bytes 101376 bits 580203 bpb 5.7233 window_bpb 5.9512 elapsed 137.7s
step 102400 bytes 102400 bits 586243 bpb 5.7250 window_bpb 5.8984 elapsed 139.0s
step 103424 bytes 103424 bits 592466 bpb 5.7285 window_bpb 6.0771 elapsed 140.4s
step 104448 bytes 104448 bits 598551 bpb 5.7306 window_bpb 5.9424 elapsed 141.8s
step 105472 bytes 105472 bits 604921 bpb 5.7354 window_bpb 6.2207 elapsed 143.1s
step 106496 bytes 106496 bits 611047 bpb 5.7377 window_bpb 5.9824 elapsed 144.5s
step 107520 bytes 107520 bits 617238 bpb 5.7407 window_bpb 6.0459 elapsed 145.9s
step 108544 bytes 108544 bits 622919 bpb 5.7389 window_bpb 5.5479 elapsed 147.2s
step 109568 bytes 109568 bits 628813 bpb 5.7390 window_bpb 5.7559 elapsed 148.6s
step 110592 bytes 110592 bits 634522 bpb 5.7375 window_bpb 5.5752 elapsed 150.0s
step 111616 bytes 111616 bits 639999 bpb 5.7339 window_bpb 5.3486 elapsed 151.4s
